x	y	z	id	time	density	cluster_id	mahalanobis	p	occupancy
 38.968917	 38.489819	 34.006989	 63668	 42.00	  1.4609e-04	-1	  1.6835e+00	  4.3096e-01	   nan
 38.968917	 38.489819	 36.437344	 91541	 52.00	  1.3126e-04	-1	  2.0247e+00	  3.6337e-01	   nan
 38.968917	 38.489819	 42.513232	 67091	 75.00	  1.8707e-05	-1	  1.2271e+00	  5.4143e-01	   nan
 38.968917	 39.219790	 32.791812	 43445	 15.80	  1.3428e-04	-1	  2.4157e+00	  2.9883e-01	   nan
 38.968917	 39.219790	 34.006989	 63243	 44.80	  1.4337e-04	-1	  1.7531e+00	  4.5769e-01	   nan
 38.968917	 39.219790	 35.222167	 50771	 49.60	  1.3647e-04	-1	  1.1403e+00	  5.6545e-01	   nan
 38.968917	 39.219790	 36.437344	 62282	 58.20	  1.4619e-04	-1	  1.4748e+00	  4.9178e-01	   nan
 38.968917	 39.219790	 37.652522	 74720	 50.53	  1.4822e-04	-1	  1.3400e+00	  5.3327e-01	   nan
 38.968917	 39.219790	 38.867699	 67181	 43.80	  9.4036e-05	-1	  3.6848e-01	  8.3174e-01	   nan
 38.968917	 39.219790	 40.082877	 73487	 74.10	  7.2372e-05	-1	  1.4504e+00	  5.0560e-01	   nan
 38.968917	 39.219790	 41.298054	 60047	 69.20	  3.1551e-05	-1	  1.7266e+00	  4.2177e-01	   nan
 38.968917	 39.949760	 32.791812	 50264	 49.60	  1.1631e-04	-1	  2.0762e+00	  3.5413e-01	   nan
 38.968917	 39.949760	 34.006989	 74113	 46.28	  1.4430e-04	-1	  2.0892e+00	  3.5455e-01	   nan
 38.968917	 39.949760	 35.222167	 70009	 31.09	  1.6475e-04	-1	  2.0195e+00	  3.8419e-01	   nan
 38.968917	 39.949760	 36.437344	 67884	 47.67	  1.5822e-04	-1	  1.1217e+00	  5.7646e-01	   nan
 38.968917	 39.949760	 37.652522	 70601	 55.45	  1.5463e-04	-1	  1.4390e+00	  5.3139e-01	   nan
 38.968917	 39.949760	 38.867699	 80762	 42.30	  1.1696e-04	-1	  1.8110e+00	  4.1424e-01	   nan
 38.968917	 39.949760	 40.082877	 64319	 52.60	  9.1753e-05	-1	  9.7391e-01	  6.2063e-01	   nan
 38.968917	 39.949760	 41.298054	 60881	 72.50	  4.8632e-05	-1	  1.4985e+00	  4.7286e-01	   nan
 38.968917	 39.949760	 42.513232	 67158	 73.30	  3.1222e-05	-1	  1.4395e+00	  5.1154e-01	   nan
 38.968917	 40.679731	 32.791812	 68462	 74.60	  1.1900e-04	-1	  1.4464e+00	  5.0577e-01	   nan
 38.968917	 40.679731	 34.006989	 52941	 38.10	  1.5155e-04	-1	  1.4204e+00	  5.0771e-01	   nan
 38.968917	 40.679731	 35.222167	 68428	 26.80	  1.6100e-04	-1	  1.6319e+00	  4.5517e-01	   nan
 38.968917	 40.679731	 36.437344	 70014	 52.07	  1.6018e-04	-1	  1.6393e+00	  4.5415e-01	   nan
 38.968917	 40.679731	 37.652522	 76237	 42.40	  1.6762e-04	-1	  1.8500e+00	  4.1696e-01	   nan
 38.968917	 40.679731	 38.867699	 62439	 20.30	  1.4690e-04	-1	  1.4097e+00	  4.9419e-01	   nan
 38.968917	 40.679731	 40.082877	 60789	 42.67	  1.2837e-04	-1	  1.2687e+00	  5.5322e-01	   nan
 38.968917	 40.679731	 41.298054	 48764	 55.60	  6.5280e-05	-1	  1.8866e+00	  3.8935e-01	   nan
 38.968917	 40.679731	 42.513232	 72930	 48.67	  5.3226e-05	-1	  1.4594e+00	  4.8556e-01	   nan
 38.968917	 41.409702	 32.791812	 54835	 56.20	  1.3215e-04	-1	  1.6726e+00	  4.4945e-01	   nan
 38.968917	 41.409702	 34.006989	 66100	 39.27	  1.5515e-04	-1	  1.2107e+00	  5.5005e-01	   nan
 38.968917	 41.409702	 35.222167	 71482	 31.76	  1.6268e-04	-1	  1.4462e+00	  4.9727e-01	   nan
 38.968917	 41.409702	 36.437344	 67046	 44.00	  1.5712e-04	-1	  2.0143e+00	  3.8238e-01	   nan
 38.968917	 41.409702	 37.652522	 68232	 43.89	  1.6172e-04	-1	  1.2870e+00	  5.4584e-01	   nan
 38.968917	 41.409702	 38.867699	 65229	 37.91	  1.4002e-04	-1	  1.6900e+00	  4.5620e-01	   nan
 38.968917	 41.409702	 40.082877	 75480	 23.36	  1.3594e-04	-1	  1.8815e+00	  4.0934e-01	   nan
 38.968917	 41.409702	 41.298054	 56071	 13.97	  8.8059e-05	-1	  1.6408e+00	  4.4493e-01	   nan
 38.968917	 41.409702	 42.513232	 78938	  0.60	  4.2371e-05	-1	  1.9952e+00	  3.6876e-01	   nan
 38.968917	 42.139673	 32.791812	 58384	 52.11	  1.3391e-04	-1	  1.7354e+00	  4.3358e-01	   nan
 38.968917	 42.139673	 34.006989	 63617	 38.67	  1.5983e-04	-1	  1.4410e+00	  5.1217e-01	   nan
 38.968917	 42.139673	 35.222167	 64930	 33.77	  1.6660e-04	-1	  1.3832e+00	  5.1220e-01	   nan
 38.968917	 42.139673	 36.437344	 70699	 41.26	  1.7667e-04	 8	  1.3967e+00	  5.2030e-01	  0.13
 38.968917	 42.139673	 37.652522	 68973	 64.90	  1.6220e-04	-1	  1.2761e+00	  5.3421e-01	   nan
 38.968917	 42.139673	 38.867699	 57253	 47.48	  1.7659e-04	-1	  1.4735e+00	  5.0554e-01	   nan
 38.968917	 42.139673	 40.082877	 60839	 42.89	  1.4754e-04	 5	  1.4709e+00	  4.9579e-01	  0.36
 38.968917	 42.139673	 41.298054	 70776	 56.90	  1.0596e-04	-1	  1.6382e+00	  4.5814e-01	   nan
 38.968917	 42.139673	 42.513232	 50190	 46.80	  6.9700e-05	-1	  2.4210e+00	  3.2343e-01	   nan
 38.968917	 42.139673	 43.728409	 70002	 35.53	  4.0834e-05	-1	  1.9232e+00	  3.8878e-01	   nan
 38.968917	 42.869643	 32.791812	 61278	 46.40	  1.3679e-04	-1	  1.9189e+00	  4.2851e-01	   nan
 38.968917	 42.869643	 34.006989	 76483	 64.47	  1.4947e-04	-1	  1.7945e+00	  4.0952e-01	   nan
 38.968917	 42.869643	 35.222167	 70407	 36.13	  1.4928e-04	-1	  1.6699e+00	  4.4305e-01	   nan
 38.968917	 42.869643	 36.437344	 62194	 51.70	  1.6791e-04	-1	  1.6446e+00	  4.6137e-01	   nan
 38.968917	 42.869643	 37.652522	 61969	 33.52	  1.6464e-04	-1	  1.4514e+00	  4.9823e-01	   nan
 38.968917	 42.869643	 38.867699	 63525	 37.30	  1.6931e-04	-1	  1.6619e+00	  4.5841e-01	   nan
 38.968917	 42.869643	 40.082877	 63498	 37.60	  1.5848e-04	-1	  1.4823e+00	  4.9094e-01	   nan
 38.968917	 42.869643	 41.298054	 74756	 63.08	  1.3199e-04	 4	  1.5913e+00	  4.6104e-01	  0.36
 38.968917	 42.869643	 42.513232	 70240	 22.00	  7.0676e-05	-1	  1.4598e+00	  4.8195e-01	   nan
 38.968917	 42.869643	 43.728409	 69923	 24.00	  5.7833e-05	-1	  1.5786e+00	  4.5772e-01	   nan
 38.968917	 43.599614	 32.791812	 67346	 39.67	  1.4277e-04	-1	  1.3001e+00	  5.3460e-01	   nan
 38.968917	 43.599614	 34.006989	 62018	 39.90	  1.5482e-04	-1	  1.4507e+00	  5.0349e-01	   nan
 38.968917	 43.599614	 35.222167	 58336	 47.20	  1.7459e-04	-1	  1.4240e+00	  5.1262e-01	   nan
 38.968917	 43.599614	 36.437344	 63810	 48.43	  1.7326e-04	-1	  1.9085e+00	  4.0358e-01	   nan
 38.968917	 43.599614	 37.652522	 64061	 50.12	  1.7473e-04	-1	  1.8298e+00	  4.1736e-01	   nan
 38.968917	 43.599614	 38.867699	 63874	 36.22	  1.6691e-04	-1	  1.4676e+00	  4.9239e-01	   nan
 38.968917	 43.599614	 40.082877	 64781	 51.76	  1.7426e-04	-1	  1.6932e+00	  4.4085e-01	   nan
 38.968917	 43.599614	 41.298054	 70724	 56.22	  1.3702e-04	-1	  1.5829e+00	  4.7157e-01	   nan
