cluster_id	size	x	y	z	x_std	y_std	z_std	radius	radius_std	occupancy
-1	19078	 48.713727	 41.879409	 51.683531	  6.668568	  5.404050	 13.471672	 20.4315	  3.6505	   nan
 0	12918	 55.212668	 43.765055	 60.340314	  2.878623	  4.417302	  5.483079	 10.4124	  1.9466	 25.78
 1	  780	 60.891044	 45.092219	 63.973343	  0.509667	  1.278091	  1.101973	  2.4032	  0.4470	  1.56
 2	  507	 55.175709	 37.603719	 48.606845	  0.288570	  0.620103	  0.398432	  1.3750	  0.3458	  1.01
 3	  646	 53.254878	 36.083599	 66.490196	  1.043583	  0.694258	  1.321566	  2.4583	  0.5053	  1.29
 4	 1007	 46.241842	 38.272969	 42.135059	  1.198129	  0.865843	  1.339712	  2.8241	  0.5501	  2.01
 5	 6582	 43.064736	 45.236940	 41.935227	  1.384360	  3.277543	  4.204285	  7.5613	  1.5978	 13.14
 6	  488	 51.945766	 45.290228	 38.803726	  0.408051	  0.484796	  0.932053	  1.6869	  0.6426	  0.97
 7	  273	 52.455719	 38.615932	 62.997427	  0.571429	  0.482590	  0.599851	  1.4070	  0.2473	  0.54
 8	 1730	 47.922470	 42.861093	 59.144810	  1.777807	  1.304430	  1.812926	  4.2714	  0.6670	  3.45
 9	  312	 48.187667	 33.980731	 34.424437	  0.459759	  0.520181	  0.560877	  1.4583	  0.3307	  0.62
10	  418	 53.463124	 45.620796	 69.992681	  0.495166	  0.417059	  0.728008	  1.5068	  0.3792	  0.83
11	  472	 58.882521	 35.972632	 51.628577	  0.328038	  0.474155	  0.524069	  1.3068	  0.2823	  0.94
12	  217	 50.753197	 36.793456	 64.424353	  0.474769	  0.436884	  0.519244	  1.2328	  0.2582	  0.43
13	  161	 49.119895	 42.406133	 37.876897	  0.484989	  0.487585	  0.516069	  1.1708	  0.2451	  0.32
14	  342	 41.464444	 38.151062	 40.411369	  0.606160	  0.611717	  0.769546	  1.5734	  0.2622	  0.68
15	  371	 57.930265	 46.925507	 71.074387	  0.478952	  0.497323	  0.556295	  1.3542	  0.1804	  0.74
16	  362	 48.312518	 46.387630	 71.759468	  0.459028	  0.961289	  0.378573	  1.6280	  0.3273	  0.72
17	  495	 53.288752	 40.555306	 48.313301	  0.371103	  0.421459	  0.316838	  1.1277	  0.2318	  0.99
18	  195	 52.816644	 40.786603	 61.499770	  0.489906	  0.480323	  0.604969	  1.2717	  0.2146	  0.39
19	  332	 47.605914	 36.780126	 35.153821	  0.578575	  0.586964	  0.595792	  1.5157	  0.2439	  0.66
20	   52	 47.001095	 38.517726	 36.657193	  0.290265	  0.259897	  0.517589	  0.7494	  0.1668	  0.10
